"縣市別","總計家數","總計資本額","農林漁牧業家數","農林漁牧業資本額","礦業及土石採取業家數","礦業及土石採取業資本額","製造業家數","製造業資本額","電力及燃氣供應業家數","電力及燃氣供應業資本額","用水供應及污染整治業家數","用水供應及污染整治業資本額","營造業家數","營造業資本額","批發及零售業家數","批發及零售業資本額","運輸及倉儲業家數","運輸及倉儲業資本額","住宿及餐飲業家數","住宿及餐飲業資本額","資訊及通訊傳播業家數","資訊及通訊傳播業資本額","金融及保險業家數","金融及保險業資本額","不動產業家數","不動產業資本額","專業科學及技術服務業家數","專業科學及技術服務業資本額","支援服務業家數","支援服務業資本額","公共行政及國防；強制性社會安全家數","公共行政及國防；強制性社會安全資本額","教育服務業家數","教育服務業資本額","醫療保健及社會工作服務業家數","醫療保健及社會工作服務業資本額","藝術娛樂及休閒服務業家數","藝術娛樂及休閒服務業資本額","其他服務業家數","其他服務業資本額"
"總計","759082","144875876","4264","2658116","1939","1212010","41816","11402382","167","103010","3010","1248171","58771","29510456","455828","64508270","28974","6316497","53366","7722788","5530","1765765","2498","4455780","2611","651852","13853","2796440","20590","5147825","0","0","205","39427","3","655","14594","1699545","51063","3636886"
"   臺灣地區","747975","143135836","4213","2640386","1934","1199670","41628","11296585","164","77810","3004","1247161","58375","29057964","446457","64021613","28845","5943591","52963","7669357","5503","1744425","2495","4454030","2604","645072","13813","2791450","20441","4995150","0","0","205","39427","3","655","14452","1683277","50876","3628211"
"      臺北市","54120","11276619","209","64307","4","1595","318","104101","9","20103","109","23978","1785","999938","29653","6324124","7111","373185","6672","1277584","583","230319","242","295903","134","39904","1474","528855","794","199649","0","0","20","6499","1","455","1350","239585","3652","546535"
"      高雄市","75260","15040640","118","87980","36","22255","1026","374184","4","1410","203","148532","5485","3189081","46847","7705203","1669","649102","6157","669348","775","241270","312","382636","250","45835","1909","345831","3271","636818","0","0","13","1852","0","0","1326","121248","5859","418055"
"      臺北縣","132452","24628763","241","84303","193","59505","5853","3020673","8","1910","291","104867","11452","4057786","79034","11454288","11013","616990","8202","1264964","1259","463393","395","1506260","149","30793","2400","497915","2826","622263","0","0","31","6120","0","0","1868","248096","7237","588637"
"      宜蘭縣","21787","4204988","217","180725","240","136323","1455","284232","1","200","59","22509","1861","1004887","12600","1635803","323","116305","1584","209691","59","14423","38","46214","180","72564","325","92779","732","224476","0","0","47","12690","0","0","398","46382","1668","104783"
"      桃園縣","42843","10882160","129","74752","17","7713","927","718211","7","3331","235","93131","4265","1963135","25061","4654894","1545","413171","3954","1391447","313","82587","168","554350","146","41938","852","158262","1235","312141","0","0","14","1940","0","0","1017","114869","2958","296288"
"      新竹縣","13241","2310001","87","58296","46","24079","814","130822","2","400","66","19932","1496","620038","7114","901401","173","129764","1178","116869","63","10543","23","28150","53","15792","201","44874","730","122911","0","0","6","683","0","0","177","19625","1012","65822"
"      苗栗縣","30710","3888189","235","82854","164","46319","2971","272912","4","615","149","65709","2609","1307043","17790","1343185","465","165947","1856","128477","112","37070","59","52043","125","54007","331","46546","896","172872","0","0","1","200","2","200","467","36428","2474","75761"
"      臺中縣","64659","9748915","457","163455","145","105606","10267","1574248","5","740","334","109904","4622","1890931","37460","4151106","1240","486341","2533","226517","295","67307","190","203820","201","37228","769","117962","1306","355245","0","0","9","1815","0","0","1014","81734","3812","174957"
